날짜,종가,전일비,시가,고가,저가,거래량
2023.08.31,"66,900",-200,"67,100","67,200","66,400","15,964,630"
2023.08.30,"67,100",+300,"67,300","67,700","67,100","9,181,223"
2023.08.29,"66,800",0,"66,900","67,200","66,600","9,114,352"
2023.08.28,"66,800",-300,"66,800","67,000","66,500","5,824,628"
2023.08.25,"67,100","-1,100","67,100","67,400","66,900","7,032,462"
2023.08.24,"68,200","+1,100","68,300","68,700","67,900","15,044,463"
2023.08.23,"67,100",+500,"66,700","67,100","66,400","9,549,352"
2023.08.22,"66,600",0,"67,200","67,700","66,300","10,500,242"
2023.08.21,"66,600",+300,"66,600","67,100","66,300","9,720,067"
2023.08.18,"66,300",-400,"66,000","66,700","65,800","11,745,006"
2023.08.17,"66,700",-300,"66,300","66,800","66,000","10,778,652"
2023.08.16,"67,000",-300,"66,700","67,100","66,300","13,174,578"
2023.08.14,"67,300",-200,"67,500","67,900","66,900","9,352,343"
2023.08.11,"67,500",-500,"68,400","68,800","67,500","9,781,038"
2023.08.10,"68,000",-900,"68,300","68,500","67,800","10,227,311"
2023.08.09,"68,900","+1,300","68,000","69,600","67,900","17,259,673"
2023.08.08,"67,600",-900,"69,000","69,100","67,400","14,664,709"
2023.08.07,"68,500",+200,"67,700","69,200","67,600","10,968,505"
2023.08.04,"68,300",-500,"68,800","69,100","68,200","12,360,193"
2023.08.03,"68,800","-1,100","69,900","70,200","68,500","20,087,090"
2023.08.02,"69,900","-1,200","70,700","71,000","69,800","13,835,020"
2023.08.01,"71,100","+1,300","70,100","71,200","70,000","12,299,254"
